year,Company_Ticker,Company_Name,total_divs_paid
2000,EOG,EOG Resources,0.13
2000,EQIX,Equinix,0.0
2000,EQR,Equity Residential,3.15
2000,ES,Eversource Energy,0.2
2000,ESS,"Essex Property Trust, Inc.",2.3638
2000,ETN,Eaton Corporation,1.76
2000,ETR,Entergy Corp.,1.215
2000,EW,Edwards Lifesciences,0.0
2000,EXC,Exelon Corp.,1.1582
2000,EXPD,Expeditors,0.14
2000,F,Ford Motor Company,8.995
2000,FAST,Fastenal Co,0.08
2000,FCX,Freeport-McMoRan Inc.,0.0
2000,FDX,FedEx Corporation,0.0
2000,FE,FirstEnergy Corp,1.5
2000,FFIV,F5 Networks,0.0
2000,FISV,Fiserv Inc,0.0
2000,FITB,Fifth Third Bancorp,0.87
2000,FLIR,FLIR Systems,0.0
2000,FLS,Flowserve Corporation,0.0
2000,FMC,FMC Corporation,0.0
2000,FRT,Federal Realty Investment Trust,1.84
2000,GD,General Dynamics,1.02
2000,GE,General Electric,0.8434
2000,GILD,Gilead Sciences,0.0
2000,GIS,General Mills,1.1
2000,GL,Globe Life Inc.,0.36
2000,GLW,Corning Inc.,0.6
2000,GPC,Genuine Parts,1.1
2000,GPS,Gap Inc.,0.0888
2000,GS,Goldman Sachs Group,0.48
2000,GWW,Grainger (W.W.) Inc.,0.67
2000,HAL,Halliburton Co.,0.5
2000,HAS,Hasbro Inc.,0.24
2000,HBAN,Huntington Bancshares,0.8
2000,HD,Home Depot,0.16
2000,HES,Hess Corporation,0.6
2000,HFC,HollyFrontier Corp,0.7
2000,HIG,Hartford Financial Svc.Gp.,0.97
2000,HOLX,Hologic,0.0
2000,HON,"Honeywell Int'l Inc.",0.75
2000,HPQ,HP Inc.,0.34
2000,HRL,Hormel Foods Corp.,0.4385
2000,HSIC,Henry Schein,0.0
2000,HST,Host Hotels & Resorts,0.91
2000,HSY,The Hershey Company,1.08
2000,HUM,Humana Inc.,0.0
2000,HWM,Howmet Aerospace,0.75
2000,IBM,International Business Machines,0.51
2000,IDXX,Idexx Laboratories,0.0
2000,IEX,IDEX Corporation,0.56
2000,IFF,International Flavors & Fragrances,0.0
2000,ILMN,Illumina Inc,0.0
2000,INCY,Incyte,0.0
2000,INTC,Intel Corp.,0.1
2000,INTU,Intuit Inc.,0.0
2000,IP,International Paper,0.994
2000,IPG,Interpublic Group,0.37
2000,IRM,Iron Mountain Incorporated,0.0
2000,ISRG,Intuitive Surgical Inc.,0.0
2000,IT,Gartner Inc,0.0
2000,ITW,Illinois Tool Works,0.76
2000,IVZ,Invesco Ltd.,0.7513
2000,J,Jacobs Engineering Group,0.0
2000,JBHT,J. B. Hunt Transport Services,0.05
2000,JCI,Johnson Controls International,0.051
2000,JKHY,Jack Henry & Associates,0.25
2000,JNJ,Johnson & Johnson,1.04
2000,JNPR,Juniper Networks,0.0
2000,JPM,JPMorgan Chase & Co.,2.53
2000,K,Kellogg Co.,0.995
2000,KEY,KeyCorp,1.12
2000,KIM,Kimco Realty,2.72
2000,KLAC,KLA Corporation,0.0
2000,KMB,Kimberly-Clark,1.08
2000,KMX,Carmax Inc,0.0
2000,KO,Coca-Cola Company,0.68
2000,KR,Kroger Co.,0.0
2000,KSU,Kansas City Southern,181.0
2000,L,Loews Corp.,1.0
2000,LB,L Brands Inc.,0.375
2000,LEG,Leggett & Platt,0.42
2000,LEN,Lennar Corp.,0.051
2000,LH,Laboratory Corp. of America Holding,0.0
2000,LHX,L3Harris Technologies,0.2
2000,LLY,Lilly (Eli) & Co.,1.04
2000,LMT,Lockheed Martin Corp.,0.44
2000,LNC,Lincoln National,1.16
2000,LNT,Alliant Energy,2.0
2000,LOW,"Lowe's Cos.",0.14
2000,LRCX,Lam Research,0.0
2000,LUMN,Lumen Technologies,0.19
2000,LUV,Southwest Airlines,0.023
2000,MAA,Mid-America Apartments,2.32
2000,MAR,Marriott International,0.233
2000,MAS,Masco Corp.,0.49
2000,MCD,"McDonald's Corp.",0.6838
2000,MCHP,Microchip Technology,0.0
2000,MCK,McKesson Corp.,0.24
2000,MCO,"Moody's Corp",9.725
2000,MDT,Medtronic plc,0.1803
2000,MET,MetLife Inc.,0.2
2000,MGM,MGM Resorts International,0.1
2000,MHK,Mohawk Industries,0.0
2000,MKC,McCormick & Co.,0.77
2000,MLM,Martin Marietta Materials,0.54
2000,MMC,Marsh & McLennan,1.9
2000,MMM,3M Company,2.32
2000,MNST,Monster Beverage,0.0
2000,MO,Altria Group Inc,2.02
2000,MOS,The Mosaic Company,0.0
2000,MRK,Merck & Co.,1.26
2000,MRO,Marathon Oil Corp.,0.88
2000,MS,Morgan Stanley,1.0
2000,MSFT,Microsoft Corp.,0.0
2000,MSI,Motorola Solutions Inc.,0.24
2000,MTB,M&T Bank,4.0
2000,MTD,Mettler Toledo,0.0
2000,MU,Micron Technology,0.0
2000,MXIM,Maxim Integrated Products,0.0
2000,NEE,NextEra Energy,2.16
2000,NEM,Newmont Corporation,0.12
2000,NI,NiSource Inc.,1.08
2000,NKE,"Nike, Inc.",0.48
2000,NLOK,NortonLifeLock,0.0
2000,NOC,Northrop Grumman,1.2
2000,NOV,NOV Inc.,0.0
2000,NSC,Norfolk Southern Corp.,0.8
2000,NTAP,NetApp,0.0
2000,NTRS,Northern Trust Corp.,0.56
2000,NUE,Nucor Corp.,0.6
2000,NVDA,Nvidia Corporation,0.0
2000,NVR,"NVR, Inc.",0.0
2000,NWL,Newell Brands,0.84
2000,O,Realty Income Corporation,2.1656
2000,ODFL,Old Dominion Freight Line,0.0
2000,OKE,Oneok,1.24
2000,OMC,Omnicom Group,0.7
2000,ORCL,Oracle Corp.,0.0
2000,ORLY,"O'Reilly Automotive",0.0
2000,OXY,Occidental Petroleum,1.0
2000,PAYX,Paychex Inc.,0.33
2000,PBCT,"People's United Financial",1.2
2000,PCAR,Paccar,2.2
2000,PEAK,Healthpeak Properties,2.94
2000,PEG,Public Service Enterprise Group (PSEG),2.16
2000,PEP,PepsiCo Inc.,0.555
2000,PFE,Pfizer Inc.,0.36
2000,PG,Procter & Gamble,1.34
2000,PGR,Progressive Corp.,0.27
2000,PH,Parker-Hannifin,0.68
2000,PHM,PulteGroup,0.16
2000,PKG,Packaging Corporation of America,0.0
2000,PKI,PerkinElmer,0.56
2000,PLD,Prologis,1.48
2000,PNC,PNC Financial Services,1.83
2000,PNR,Pentair plc,0.325
2000,PNW,Pinnacle West Capital,1.425
2000,POOL,Pool Corporation,0.0
2000,PPG,PPG Industries,1.6
2000,PPL,PPL Corp.,1.06
2000,PRGO,Perrigo,0.0
2000,PSA,Public Storage,1.48
2000,PVH,PVH Corp.,0.15
2000,PWR,Quanta Services Inc.,0.0
2000,PXD,Pioneer Natural Resources,0.0
2000,QCOM,Qualcomm,0.0
2000,RCL,Royal Caribbean Group,0.48
2000,RE,Everest Re Group Ltd.,0.12
2000,REG,Regency Centers Corporation,1.92
2000,REGN,Regeneron Pharmaceuticals,0.0
2000,RF,Regions Financial Corp.,1.08
2000,RHI,Robert Half International,0.0
2000,RJF,Raymond James Financial,0.315
2000,RL,Ralph Lauren Corporation,0.0
2000,RMD,ResMed,0.0
2000,ROK,Rockwell Automation Inc.,1.02
2000,ROL,"Rollins, Inc.",0.2
2000,ROP,Roper Technologies,0.28
2000,ROST,Ross Stores,0.15
2000,RSG,Republic Services Inc,0.0
2000,RTX,Raytheon Technologies,0.825
2000,SBAC,SBA Communications,0.0
2000,SBUX,Starbucks Corp.,0.0
2000,SCHW,Charles Schwab Corporation,0.05
2000,SEE,Sealed Air,0.0
2000,SHW,Sherwin-Williams,0.675
2000,SIVB,SVB Financial,0.0
2000,SJM,JM Smucker,0.63
2000,SLB,Schlumberger Ltd.,0.751
2000,SLG,SL Green Realty,1.475
2000,SNA,Snap-on,0.94
2000,SNPS,Synopsys Inc.,0.0
2000,SO,Southern Company,1.34
2000,SPG,Simon Property Group Inc,2.02
2000,SRE,Sempra Energy,1.0
2000,STE,Steris,0.0
2000,STT,State Street Corp.,0.69
2000,STZ,Constellation Brands,0.0
2000,SWK,Stanley Black & Decker,0.9
2000,SWKS,Skyworks Solutions,0.0
2000,SYK,Stryker Corp.,0.08
2000,SYY,Sysco Corp.,0.48
2000,T,AT&T Inc.,1.0048
2000,TAP,Molson Coors Beverage Company,0.72
2000,TDY,Teledyne Technologies,0.0
2000,TER,Teradyne,0.0
2000,TFC,Truist Financial,0.86
2000,TFX,Teleflex,0.58
2000,TGT,Target Corp.,0.31
2000,TJX,TJX Companies Inc.,0.155
2000,TMO,Thermo Fisher Scientific,0.0
2000,TPR,"Tapestry, Inc.",0.0
2000,TRMB,Trimble Inc.,0.0
2000,TROW,T. Rowe Price Group,0.54
2000,TRV,The Travelers Companies,1.08
2000,TSCO,Tractor Supply Company,0.0
2000,TSN,Tyson Foods,0.16
2000,TT,Trane Technologies plc,0.68
2000,TTWO,Take-Two Interactive,0.0
2000,TXN,Texas Instruments,0.1286
2000,TXT,Textron Inc.,1.3
2000,TYL,Tyler Technologies,0.0
2000,UDR,"UDR, Inc.",1.08
2000,UHS,Universal Health Services,0.0
2000,UNH,UnitedHealth Group Inc.,0.03
2000,UNM,Unum Group,0.59
2000,UNP,Union Pacific Corp,0.8
2000,UPS,United Parcel Service,0.68
2000,URI,"United Rentals, Inc.",0.0
2000,USB,U.S. Bancorp,1.42
2000,VAR,Varian Medical Systems,0.0
2000,VFC,VF Corporation,0.89
2000,VLO,Valero Energy,0.32
2000,VMC,Vulcan Materials,0.84
2000,VNO,Vornado Realty Trust,1.4413
2000,VRSN,Verisign Inc.,0.0
2000,VRTX,Vertex Pharmaceuticals Inc,0.0
2000,VTR,Ventas Inc,0.91
2000,VZ,Verizon Communications,1.54
2000,WAB,Westinghouse Air Brake Technologies Corp,0.04
2000,WAT,Waters Corporation,0.0
2000,WBA,Walgreens Boots Alliance,0.1363
2000,WDC,Western Digital,0.0
2000,WEC,WEC Energy Group,1.37
2000,WFC,Wells Fargo,0.9
2000,WHR,Whirlpool Corp.,1.36
2000,WM,Waste Management Inc.,0.01
2000,WMB,Williams Companies,0.6
2000,WMT,Walmart,0.24
2000,WRB,W. R. Berkley Corporation,0.52
2000,WST,West Pharmaceutical Services,0.69
2000,WY,Weyerhaeuser,0.8911
2000,XEL,Xcel Energy Inc,1.4818
2000,XLNX,Xilinx,0.0
2000,XOM,Exxon Mobil Corp.,1.76
2000,XRAY,Dentsply Sirona,0.2562
2000,XRX,Xerox,0.65
2000,YUM,Yum! Brands Inc,0.0
2000,ZBRA,Zebra Technologies,0.0
2000,ZION,Zions Bancorp,0.89
2001,A,Agilent Technologies,0.0
2001,AAP,Advance Auto Parts,0.0
2001,AAPL,Apple Inc.,0.0
2001,ABC,AmerisourceBergen,0.025
2001,ABMD,Abiomed,0.0
2001,ABT,Abbott Laboratories,0.82
2001,ACN,Accenture,0.0
2001,ADBE,Adobe Inc.,0.0625
2001,ADI,"Analog Devices, Inc.",0.0
2001,ADM,Archer-Daniels-Midland Co,0.2
2001,ADP,Automatic Data Processing,0.4225
2001,ADSK,Autodesk Inc.,0.24
2001,AEE,Ameren Corp,2.54
2001,AEP,American Electric Power,2.4
2001,AES,AES Corp,0.0
2001,AFL,Aflac,0.235
2001,AIG,American International Group,0.158
2001,AJG,Arthur J. Gallagher & Co.,0.52
2001,AKAM,Akamai Technologies,0.0
2001,ALB,Albemarle Corporation,0.52
2001,ALGN,Align Technology,0.0
2001,ALK,Alaska Air Group,0.0
2001,ALL,Allstate Corp,0.76
2001,ALXN,Alexion Pharmaceuticals,0.0
2001,AMAT,Applied Materials Inc.,0.0
2001,AMD,Advanced Micro Devices,0.0
2001,AME,Ametek,0.24
2001,AMGN,Amgen Inc.,0.0
2001,AMT,American Tower Corp.,0.0
2001,AMZN,Amazon.com Inc.,0.0
2001,ANSS,"ANSYS, Inc.",0.0
2001,ANTM,Anthem,0.0
2001,AON,Aon plc,0.895
2001,AOS,A.O. Smith Corp,0.52
2001,APA,Apache Corporation,0.436
2001,APD,Air Products & Chemicals,0.79
2001,APH,Amphenol Corp,0.0
2001,ARE,Alexandria Real Estate Equities,1.81
2001,ATO,Atmos Energy,1.165
2001,ATVI,Activision Blizzard,0.0
2001,AVB,AvalonBay Communities,3.2
2001,AVY,Avery Dennison Corp,1.23
2001,AXP,American Express,0.32
2001,AZO,AutoZone Inc,0.0
2001,BA,Boeing Company,0.68
2001,BAC,Bank of America Corp,2.28
2001,BAX,Baxter International Inc.,0.582
2001,BBY,Best Buy Co. Inc.,0.0
2001,BDX,Becton Dickinson,0.3825
2001,BEN,Franklin Resources,0.265
2001,BF-B,Brown-Forman Corp.,1.34
2001,BIIB,Biogen Inc.,0.0
2001,BIO,Bio-Rad Laboratories,0.0
2001,BK,The Bank of New York Mellon,1.1497
2001,BKNG,Booking Holdings Inc,0.0
2001,BLK,BlackRock,0.0
2001,BLL,Ball Corp,0.6
2001,BMY,Bristol-Myers Squibb,1.1
2001,BRK.B,Berkshire Hathaway,0.0
2001,BSX,Boston Scientific,0.0
2001,BWA,BorgWarner,0.6
2001,BXP,Boston Properties,2.27
2001,C,Citigroup Inc.,0.6
2001,CAG,Conagra Brands,0.91
2001,CAH,Cardinal Health Inc.,0.105
2001,CAT,Caterpillar Inc.,1.38
2001,CB,Chubb Limited,1.74
2001,CCI,Crown Castle,0.0
2001,CCL,Carnival Corp.,0.42
2001,CDNS,Cadence Design Systems,0.0
2001,CERN,Cerner,0.0
2001,CHD,Church & Dwight,0.36
2001,CHRW,C. H. Robinson Worldwide,0.21
2001,CI,Cigna,1.28
2001,CINF,Cincinnati Financial,0.84
2001,CL,Colgate-Palmolive,0.675
2001,CLX,The Clorox Company,0.84
2001,CMA,Comerica Inc.,1.76
2001,CMCSA,Comcast Corp.,0.0
2001,CMI,Cummins Inc.,1.2
2001,CMS,CMS Energy,1.46
2001,CNP,CenterPoint Energy,1.5
2001,COF,Capital One Financial,0.1068
2001,COG,Cabot Oil & Gas,0.16
2001,COO,The Cooper Companies,0.1
2001,COP,ConocoPhillips,1.4
2001,COST,Costco Wholesale Corp.,0.0
2001,CPB,Campbell Soup,0.8325
2001,CPRT,Copart Inc,0.0
2001,CSCO,Cisco Systems,0.0
2001,CSX,CSX Corp.,0.8
2001,CTAS,Cintas Corporation,0.22
2001,CTSH,Cognizant Technology Solutions,0.0
2001,CTXS,Citrix Systems,0.0
2001,CVS,CVS Health,0.23
2001,CVX,Chevron Corp.,2.65
2001,D,Dominion Energy,2.58
2001,DD,DuPont de Nemours Inc,1.4
2001,DE,Deere & Co.,0.88
2001,DGX,Quest Diagnostics,0.0
2001,DHI,D. R. Horton,0.2
2001,DHR,Danaher Corp.,0.08
2001,DIS,The Walt Disney Company,0.21
2001,DISH,Dish Network,0.0
2001,DLTR,Dollar Tree,0.0
2001,DOV,Dover Corporation,0.52
2001,DRE,Duke Realty Corp,1.33
2001,DRI,Darden Restaurants,0.08
2001,DTE,DTE Energy Co.,2.06
2001,DUK,Duke Energy,1.1
2001,DVA,DaVita Inc.,0.0
2001,DVN,Devon Energy,0.15
2001,EA,Electronic Arts,0.0
2001,EBAY,eBay Inc.,0.0
2001,ECL,Ecolab Inc.,0.525
2001,ED,Consolidated Edison,2.2
2001,EFX,Equifax Inc.,15.225
2001,EIX,"Edison Int'l",0.0
2001,EL,Estée Lauder Companies,0.2
2001,EMN,Eastman Chemical,1.76
2001,EMR,Emerson Electric Company,1.535
2001,EOG,EOG Resources,0.155
2001,EQIX,Equinix,0.0
2001,EQR,Equity Residential,2.9275
2001,ES,Eversource Energy,0.45
2001,ESS,"Essex Property Trust, Inc.",2.8
2001,ETN,Eaton Corporation,1.76
2001,ETR,Entergy Corp.,1.275
2001,EW,Edwards Lifesciences,0.0
2001,EXC,Exelon Corp.,1.82
2001,EXPD,Expeditors,0.2
2001,F,Ford Motor Company,1.05
2001,FAST,Fastenal Co,0.09
2001,FCX,Freeport-McMoRan Inc.,0.0
2001,FDX,FedEx Corporation,0.0
2001,FE,FirstEnergy Corp,1.5
2001,FFIV,F5 Networks,0.0
2001,FIS,Fidelity National Information Services,0.0
2001,FISV,Fiserv Inc,0.0
2001,FITB,Fifth Third Bancorp,0.83
2001,FLIR,FLIR Systems,0.0
2001,FLS,Flowserve Corporation,0.0
2001,FMC,FMC Corporation,0.0
2001,FRT,Federal Realty Investment Trust,1.9
2001,GD,General Dynamics,1.1
2001,GE,General Electric,0.66
2001,GILD,Gilead Sciences,0.0
2001,GIS,General Mills,1.1
2001,GL,Globe Life Inc.,0.36
2001,GLW,Corning Inc.,0.12
2001,GPC,Genuine Parts,1.14
2001,GPN,Global Payments Inc.,0.12
2001,GPS,Gap Inc.,0.111
2001,GRMN,Garmin Ltd.,0.0
2001,GS,Goldman Sachs Group,0.48
2001,GWW,Grainger (W.W.) Inc.,0.695
2001,HAL,Halliburton Co.,0.5
2001,HAS,Hasbro Inc.,0.12
2001,HBAN,Huntington Bancshares,0.56
2001,HD,Home Depot,0.22
2001,HES,Hess Corporation,1.2
2001,HFC,HollyFrontier Corp,0.58
2001,HIG,Hartford Financial Svc.Gp.,1.01
2001,HOLX,Hologic,0.0
2001,HON,"Honeywell Int'l Inc.",0.75
2001,HPQ,HP Inc.,0.32
2001,HRL,Hormel Foods Corp.,0.37
2001,HSIC,Henry Schein,0.0
2001,HST,Host Hotels & Resorts,0.78
2001,HSY,The Hershey Company,1.165
2001,HUM,Humana Inc.,0.0
2001,HWM,Howmet Aerospace,0.6
2001,IBM,International Business Machines,0.55
2001,IDXX,Idexx Laboratories,0.0
2001,IEX,IDEX Corporation,0.56
2001,IFF,International Flavors & Fragrances,0.0
2001,ILMN,Illumina Inc,0.0
2001,INCY,Incyte,0.0
2001,INTC,Intel Corp.,0.08
2001,INTU,Intuit Inc.,0.0
2001,IP,International Paper,1.0
2001,IPG,Interpublic Group,0.38
2001,IRM,Iron Mountain Incorporated,0.0
2001,ISRG,Intuitive Surgical Inc.,0.0
2001,IT,Gartner Inc,0.0
2001,ITW,Illinois Tool Works,0.84
2001,IVZ,Invesco Ltd.,0.3044
2001,J,Jacobs Engineering Group,0.0
2001,JBHT,J. B. Hunt Transport Services,0.0
2001,JCI,Johnson Controls International,0.05
2001,JKHY,Jack Henry & Associates,0.15
2001,JNJ,Johnson & Johnson,1.04
2001,JNPR,Juniper Networks,0.0
2001,JPM,JPMorgan Chase & Co.,2.02
2001,K,Kellogg Co.,1.01
2001,KEY,KeyCorp,1.18
2001,KIM,Kimco Realty,2.68
2001,KLAC,KLA Corporation,0.0
2001,KMB,Kimberly-Clark,1.12
2001,KMX,Carmax Inc,0.0
2001,KO,Coca-Cola Company,0.72
2001,KR,Kroger Co.,0.0
2001,KSU,Kansas City Southern,0.0
2001,L,Loews Corp.,1.15
2001,LB,L Brands Inc.,0.225
2001,LEG,Leggett & Platt,0.48
2001,LEN,Lennar Corp.,0.05
2001,LH,Laboratory Corp. of America Holding,0.0
2001,LHX,L3Harris Technologies,0.2
2001,LLY,Lilly (Eli) & Co.,1.12
2001,LMT,Lockheed Martin Corp.,0.44
2001,LNC,Lincoln National,1.22
2001,LNT,Alliant Energy,2.0
2001,LOW,"Lowe's Cos.",0.11
2001,LRCX,Lam Research,0.0
2001,LUMN,Lumen Technologies,0.2
2001,LUV,Southwest Airlines,0.018
2001,MAA,Mid-America Apartments,2.9259
2001,MAR,Marriott International,0.319
2001,MAS,Masco Corp.,0.525
2001,MCD,"McDonald's Corp.",0.225
2001,MCHP,Microchip Technology,0.0
2001,MCK,McKesson Corp.,0.24
2001,MCO,"Moody's Corp",0.18
2001,MDLZ,Mondelez International,0.26
2001,MDT,Medtronic plc,0.215
2001,MET,MetLife Inc.,0.2
2001,MGM,MGM Resorts International,0.0
2001,MHK,Mohawk Industries,0.0
2001,MKC,McCormick & Co.,0.81
2001,MLM,Martin Marietta Materials,0.56
2001,MMC,Marsh & McLennan,2.06
2001,MMM,3M Company,2.4
2001,MNST,Monster Beverage,0.0
2001,MO,Altria Group Inc,2.22
2001,MOS,The Mosaic Company,0.0
2001,MRK,Merck & Co.,1.38
2001,MRO,Marathon Oil Corp.,0.92
2001,MS,Morgan Stanley,0.92
2001,MSFT,Microsoft Corp.,0.0
2001,MSI,Motorola Solutions Inc.,0.12
2001,MTB,M&T Bank,1.0
2001,MTD,Mettler Toledo,0.0
2001,MU,Micron Technology,0.0
2001,MXIM,Maxim Integrated Products,0.0
2001,NEE,NextEra Energy,2.24
2001,NEM,Newmont Corporation,0.12
2001,NI,NiSource Inc.,1.16
2001,NKE,"Nike, Inc.",0.48
2001,NLOK,NortonLifeLock,0.0
2001,NOC,Northrop Grumman,1.6
2001,NOV,NOV Inc.,0.0
2001,NSC,Norfolk Southern Corp.,0.24
2001,NTAP,NetApp,0.0
2001,NTRS,Northern Trust Corp.,0.635
2001,NUE,Nucor Corp.,0.68
2001,NVDA,Nvidia Corporation,0.0
2001,NVR,"NVR, Inc.",0.0
2001,NWL,Newell Brands,0.84
2001,O,Realty Income Corporation,2.2475
2001,ODFL,Old Dominion Freight Line,0.0
2001,OKE,Oneok,0.93
2001,OMC,Omnicom Group,0.775
2001,ORCL,Oracle Corp.,0.0
2001,ORLY,"O'Reilly Automotive",0.0
2001,OXY,Occidental Petroleum,1.0
2001,PAYX,Paychex Inc.,0.38
2001,PBCT,"People's United Financial",1.34
2001,PCAR,Paccar,1.45
2001,PEAK,Healthpeak Properties,3.1
2001,PEG,Public Service Enterprise Group (PSEG),2.16
2001,PEP,PepsiCo Inc.,0.575
2001,PFE,Pfizer Inc.,0.44
2001,PFG,Principal Financial Group,0.0
2001,PG,Procter & Gamble,1.46
2001,PGR,Progressive Corp.,0.28
2001,PH,Parker-Hannifin,0.72
2001,PHM,PulteGroup,0.16
2001,PKG,Packaging Corporation of America,0.0
2001,PKI,PerkinElmer,0.42
2001,PLD,Prologis,3.355
2001,PNC,PNC Financial Services,1.92
2001,PNR,Pentair plc,0.35
2001,PNW,Pinnacle West Capital,1.525
2001,POOL,Pool Corporation,0.0
2001,PPG,PPG Industries,1.68
2001,PPL,PPL Corp.,1.06
2001,PRGO,Perrigo,0.0
2001,PSA,Public Storage,1.69
2001,PVH,PVH Corp.,0.15
2001,PWR,Quanta Services Inc.,0.0
2001,PXD,Pioneer Natural Resources,0.0
2001,QCOM,Qualcomm,0.0
2001,RCL,Royal Caribbean Group,0.52
2001,RE,Everest Re Group Ltd.,0.28
2001,REG,Regency Centers Corporation,2.0
2001,REGN,Regeneron Pharmaceuticals,0.0
2001,RF,Regions Financial Corp.,0.84
2001,RHI,Robert Half International,0.0
2001,RJF,Raymond James Financial,0.45
2001,RL,Ralph Lauren Corporation,0.0
2001,RMD,ResMed,0.0
2001,ROK,Rockwell Automation Inc.,0.84
2001,ROL,"Rollins, Inc.",0.2
2001,ROP,Roper Technologies,0.3
2001,ROST,Ross Stores,0.17
2001,RSG,Republic Services Inc,0.0
2001,RTX,Raytheon Technologies,0.9
2001,SBAC,SBA Communications,0.0
2001,SBUX,Starbucks Corp.,0.0
